,ema_spread_pct,adx_strength,supertrend_strength,macd_hist_normalized,rsi_value,rsi_strength,volume_ratio,dmi_strength,has_bos,has_sweep,sweep_strength,has_ob,ob_valid,structure_trend,structure_breaks,regime,regime_confidence,atr_percentile,ema_spread_trend,supertrend_direction,ema_bullish_cross,ema_bearish_cross,ema_bullish_alignment,ema_bearish_alignment,macd_bullish_cross,macd_bearish_cross,volume_above_avg,supertrend_bullish,supertrend_bearish,trend_is_strong
sweep_strength,-0.2102167359713861,-0.3449245625051287,-0.29419198961824755,0.07340495101078262,0.047830687074899104,0.15803708810736775,-0.24468988445309478,-0.14506807792564114,0.03370962949088063,0.9695188732417451,1.0,0.05333521291561121,0.05333521291561121,-0.06355359527010844,0.08512830672650834,0.0382973099145115,-0.18587421784097027,-0.13648196047662095,-0.01728541106478372,-0.04221413512946038,-0.01067997750702115,-0.02304036864901378,-0.053301155007523734,0.053301155007523734,-0.11244724198649171,-0.10028467031830517,-0.31137205415571295,-0.04221413512946038,0.04221413512946038,-0.01867383110364519
has_ob,0.024689961903499046,0.002580255976100875,-0.014356832745342904,-0.06666968142751838,-0.04040915925219851,0.057581201873526354,-0.04712591581669482,-0.029969083230535237,-0.02110430507926764,0.042572348234844855,0.05333521291561121,1.0,1.0,-0.013015591296923331,0.007428975699373883,0.01847942026494991,0.00687123472028615,0.16064569207604854,-0.04085053489111401,-0.025898960508139897,-0.019427783433471284,-0.009701068091716825,-0.040514715648447594,0.040514715648447594,-0.008198422890432992,0.0008488823442475454,-0.0434965328691648,-0.025898960508139897,0.025898960508139897,0.030799611286718792
ob_valid,0.024689961903499046,0.002580255976100875,-0.014356832745342904,-0.06666968142751838,-0.04040915925219851,0.057581201873526354,-0.04712591581669482,-0.029969083230535237,-0.02110430507926764,0.042572348234844855,0.05333521291561121,1.0,1.0,-0.013015591296923331,0.007428975699373883,0.01847942026494991,0.00687123472028615,0.16064569207604854,-0.04085053489111401,-0.025898960508139897,-0.019427783433471284,-0.009701068091716825,-0.040514715648447594,0.040514715648447594,-0.008198422890432992,0.0008488823442475454,-0.0434965328691648,-0.025898960508139897,0.025898960508139897,0.030799611286718792
structure_trend,0.07098087113556285,0.09555754314216384,0.12569025280915466,-0.007308516043789286,0.05282472091607179,-0.06850073700104253,0.0974107769976434,0.053817203953198146,-0.3179515936180644,-0.09367537391396379,-0.06355359527010844,-0.013015591296923331,-0.013015591296923331,1.0,-0.8633210010596929,-0.03609193085679667,0.12439862741693894,0.057562494175442874,0.04162008841034506,0.019210465226565904,0.021517930338690792,0.03635950681639978,0.01001330336206956,-0.01001330336206956,0.0001680259981319594,-0.054020086219022434,0.1317330313933371,0.019210465226565904,-0.019210465226565904,-0.0056043116679137
structure_breaks,-0.17376472099466694,-0.1541170924290982,-0.18518204258701956,0.07790833087390067,0.08671648589019024,0.18406928094006042,-0.23763074152097405,-0.1833116582402618,0.702685978054621,0.11524784044358058,0.08512830672650834,0.007428975699373883,0.007428975699373883,-0.8633210010596929,1.0,0.0618484748584827,-0.25039841031192445,-0.10858671309945596,-0.09784020957800134,0.1469088795180753,0.014663296047510472,-0.03756380853747922,0.1606939396366004,-0.1606939396366004,0.06576442101452087,-0.03876216658457825,-0.30199051559215156,0.1469088795180753,-0.1469088795180753,-0.024796038861462408
regime,-0.009201111451869566,0.08818489942009564,0.03932747624144299,0.030430691989625162,0.051958390507817365,0.1567730771156679,-0.4187381825430558,-0.14589652823469143,0.08394814512027357,0.0233559465395813,0.0382973099145115,0.01847942026494991,0.01847942026494991,-0.03609193085679667,0.0618484748584827,1.0,-0.3694715514528789,0.07889776717503941,-0.010412431904475652,0.06808602097655572,0.013160364480452701,-0.03271357627414596,0.07145566011384434,-0.07145566011384434,-0.001783639532087984,-0.045725253390096,-0.37311683064449147,0.06808602097655572,-0.06808602097655572,0.16401555403057508
regime_confidence,0.3948418230011173,0.3788563113110914,0.35498432343209074,-0.0809445398232273,-0.13725378192350937,-0.4758820997215205,0.4954052522976407,0.5531468714066341,-0.3396782506071755,-0.17879734036940068,-0.18587421784097027,0.00687123472028615,0.00687123472028615,0.12439862741693894,-0.25039841031192445,-0.3694715514528789,1.0,0.2146482982224088,0.2175798761189328,-0.16933098820548803,-0.05877218383781053,0.03784131319736037,-0.1859995148549788,0.1859995148549788,-0.06535780752850444,0.07098653268787719,0.4981222583746879,-0.16933098820548803,0.16933098820548803,0.019331669815448725
atr_percentile,0.4202494986576695,0.2546840484460303,0.22869224464326526,-0.09787652039123258,-0.06431316118919958,-0.010626792570060174,-0.0037155543959661807,0.1551504191029555,-0.14413105869674728,-0.15769296449479034,-0.13648196047662095,0.16064569207604854,0.16064569207604854,0.057562494175442874,-0.10858671309945596,0.07889776717503941,0.2146482982224088,1.0,-0.023131752638808047,-0.03192920802424661,0.08234952909525212,-0.0017603687459554322,-0.008860073072,0.008860073072,0.007358321692712831,-0.03545067342484574,0.03659625175859415,-0.03192920802424661,0.03192920802424661,0.155343829500385
ema_spread_trend,0.2807081969082375,0.06588913146223409,0.09699972412244458,0.03703894371523307,-0.026852086465977313,-0.3383176390971638,0.15172527731707014,0.34438762124443734,-0.1390383847079638,-0.010531423416769364,-0.01728541106478372,-0.04085053489111401,-0.04085053489111401,0.04162008841034506,-0.09784020957800134,-0.010412431904475652,0.2175798761189328,-0.023131752638808047,1.0,-0.0611581942294972,-0.09478883132334143,0.008024185125838043,-0.09677845657603212,0.09677845657603212,-0.013177411718462748,0.05332983995438484,0.14964544999915588,-0.0611581942294972,0.0611581942294972,-0.020380583286865275
supertrend_direction,-0.01742952493884089,-0.09265947814802229,-0.07124327913516589,0.7188621608057252,0.855579836736275,0.10426572101867955,-0.2500015587312451,-0.12386153184782249,0.3321973720057539,-0.03953668693892422,-0.04221413512946038,-0.025898960508139897,-0.025898960508139897,0.019210465226565904,0.1469088795180753,0.06808602097655572,-0.16933098820548803,-0.03192920802424661,-0.0611581942294972,1.0,-0.0014617420318637012,-0.030395378335248212,0.9422589900470691,-0.9422589900470691,0.19413326960915375,-0.2448110991990102,-0.2976695318672583,1.0,-1.0,-0.016519436258445156
ema_bullish_cross,-0.09642833871453368,-0.043892825600880946,-0.07852450088946117,0.05658695628000291,0.02241783571476154,0.057246278407228963,-0.051750851855671506,-0.0759391183332681,0.036946081281163126,-0.017165319141179393,-0.01067997750702115,-0.019427783433471284,-0.019427783433471284,0.021517930338690792,0.014663296047510472,0.013160364480452701,-0.05877218383781053,0.08234952909525212,-0.09478883132334143,-0.0014617420318637012,1.0,-0.0017613401541644689,0.05643775842930798,-0.05643775842930798,0.053748432134357364,-0.016550016667086154,-0.037854364092745535,-0.0014617420318637012,0.0014617420318637012,0.005592022608136797
ema_bearish_cross,-0.050779784667158524,-0.014220378572800018,-0.025806978913271102,-0.01304476150521709,-0.023245855277462982,0.028585352864759567,0.024419433033603517,-0.00032350522876219975,-0.02634772175352656,-0.023764744849137938,-0.02304036864901378,-0.009701068091716825,-0.009701068091716825,0.03635950681639978,-0.03756380853747922,-0.03271357627414596,0.03784131319736037,-0.0017603687459554322,0.008024185125838043,-0.030395378335248212,-0.0017613401541644689,1.0,-0.031208541997121725,0.031208541997121725,-0.0068726129591504675,0.1064252797803723,0.025974088050989896,-0.030395378335248212,0.030395378335248212,0.002792320198427395
ema_bullish_alignment,-0.04460830586626486,-0.1071824364342373,-0.11814439643248602,0.733638509818425,0.864900214633042,0.13674477289132,-0.2711424206210608,-0.15676944718575153,0.35160768609154996,-0.0463036864774039,-0.053301155007523734,-0.040514715648447594,-0.040514715648447594,0.01001330336206956,0.1606939396366004,0.07145566011384434,-0.1859995148549788,-0.008860073072,-0.09677845657603212,0.9422589900470691,0.05643775842930798,-0.031208541997121725,1.0,-1.0,0.20421285717672114,-0.27282738661848677,-0.32100429642032746,0.9422589900470691,-0.9422589900470691,-0.014050566362893558
ema_bearish_alignment,0.04460830586626486,0.1071824364342373,0.11814439643248602,-0.733638509818425,-0.864900214633042,-0.13674477289132,0.2711424206210608,0.15676944718575153,-0.35160768609154996,0.0463036864774039,0.053301155007523734,0.040514715648447594,0.040514715648447594,-0.01001330336206956,-0.1606939396366004,-0.07145566011384434,0.1859995148549788,0.008860073072,0.09677845657603212,-0.9422589900470691,-0.05643775842930798,0.031208541997121725,-1.0,1.0,-0.20421285717672114,0.27282738661848677,0.32100429642032746,-0.9422589900470691,0.9422589900470691,0.014050566362893558
macd_bullish_cross,-0.10782660220407365,-0.014299063388853646,0.005292321107390532,0.11948434520625295,0.16311121269961912,0.0910084902653815,-0.0547312262380106,-0.0666786104654295,0.17232537738895892,-0.11201091001481284,-0.11244724198649171,-0.008198422890432992,-0.008198422890432992,0.0001680259981319594,0.06576442101452087,-0.001783639532087984,-0.06535780752850444,0.007358321692712831,-0.013177411718462748,0.19413326960915375,0.053748432134357364,-0.0068726129591504675,0.20421285717672114,-0.20421285717672114,1.0,-0.06457688411374947,-0.04693741294693682,0.19413326960915375,-0.19413326960915375,-0.020991997916405603
macd_bearish_cross,-0.06988746955484365,0.07100451185909601,0.05367127332821746,-0.12877872183700037,-0.23367198550694845,-0.01281198120271614,0.15284521254576244,0.02158533468484241,-0.1722838966481058,-0.09794839060414536,-0.10028467031830517,0.0008488823442475454,0.0008488823442475454,-0.054020086219022434,-0.03876216658457825,-0.045725253390096,0.07098653268787719,-0.03545067342484574,0.05332983995438484,-0.2448110991990102,-0.016550016667086154,0.1064252797803723,-0.27282738661848677,0.27282738661848677,-0.06457688411374947,1.0,0.16863883954615963,-0.2448110991990102,0.2448110991990102,0.026237377098654095
volume_above_avg,0.25119742719004184,0.27939296899465166,0.2611040625115314,-0.15401593408131423,-0.24101890812731838,-0.409141633952821,0.8584696615352128,0.4325322386726749,-0.4466408519108804,-0.29729659582125995,-0.31137205415571295,-0.0434965328691648,-0.0434965328691648,0.1317330313933371,-0.30199051559215156,-0.37311683064449147,0.4981222583746879,0.03659625175859415,0.14964544999915588,-0.2976695318672583,-0.037854364092745535,0.025974088050989896,-0.32100429642032746,0.32100429642032746,-0.04693741294693682,0.16863883954615963,1.0,-0.2976695318672583,0.2976695318672583,-0.0824643026864807
supertrend_bullish,-0.01742952493884089,-0.09265947814802229,-0.07124327913516589,0.7188621608057252,0.855579836736275,0.10426572101867955,-0.2500015587312451,-0.12386153184782249,0.3321973720057539,-0.03953668693892422,-0.04221413512946038,-0.025898960508139897,-0.025898960508139897,0.019210465226565904,0.1469088795180753,0.06808602097655572,-0.16933098820548803,-0.03192920802424661,-0.0611581942294972,1.0,-0.0014617420318637012,-0.030395378335248212,0.9422589900470691,-0.9422589900470691,0.19413326960915375,-0.2448110991990102,-0.2976695318672583,1.0,-1.0,-0.016519436258445156
supertrend_bearish,0.01742952493884089,0.09265947814802229,0.07124327913516589,-0.7188621608057252,-0.855579836736275,-0.10426572101867955,0.2500015587312451,0.12386153184782249,-0.3321973720057539,0.03953668693892422,0.04221413512946038,0.025898960508139897,0.025898960508139897,-0.019210465226565904,-0.1469088795180753,-0.06808602097655572,0.16933098820548803,0.03192920802424661,0.0611581942294972,-1.0,0.0014617420318637012,0.030395378335248212,-0.9422589900470691,0.9422589900470691,-0.19413326960915375,0.2448110991990102,0.2976695318672583,-1.0,1.0,0.016519436258445156
trend_is_strong,0.09504046062902348,0.16167221433521325,0.08193375322166535,-0.020464078382475145,-0.012897528392316268,-0.054058962153050144,-0.11710956066290597,0.07459581940779786,-0.06805354720735907,-0.04031908592635258,-0.01867383110364519,0.030799611286718792,0.030799611286718792,-0.0056043116679137,-0.024796038861462408,0.16401555403057508,0.019331669815448725,0.155343829500385,-0.020380583286865275,-0.016519436258445156,0.005592022608136797,0.002792320198427395,-0.014050566362893558,0.014050566362893558,-0.020991997916405603,0.026237377098654095,-0.0824643026864807,-0.016519436258445156,0.016519436258445156,1.0
