symbol,direction,regime,adx_value,signal_score,score_verdict,has_sweep,sweep_strength,has_bos,bos_type,has_ob,ob_valid,sl_source,result,pnl_pct,net_pnl_pct,win,rr,ema_strength,rsi_value,macd_hist_normalized,volume_ratio,created_at,entry_price,exit_price
DOGE/USDT,SELL,trend,26.40734146051298,5,moderate,True,0.8,True,bullish,False,False,atr,SL,-1.5367,-1.7367,False,1.0,-0.9470903637545587,21.45419350867923,-0.309996,1.885,2026-05-28 04:00:00+00:00,0.09791,0.09941456
DOGE/USDT,SELL,expansion,33.538687891044745,5,moderate,False,0.0,False,,False,False,atr,TP,2.9004,2.7004,True,2.0,-0.8285622327503344,21.643759659113396,-0.288481,5.2577,2026-06-02 14:00:00+00:00,0.09806,0.09521584
DOGE/USDT,SELL,expansion,54.15363543462623,5,moderate,False,0.0,False,,False,False,atr,TP,4.1581,3.9581,True,2.0,-1.0,16.684608080756064,-0.269382,2.1702,2026-06-02 22:00:00+00:00,0.09356,0.08966967
DOGE/USDT,SELL,expansion,53.86792311703615,5,moderate,False,0.0,False,,True,True,atr,TP,4.6412,4.4412,True,2.0,-1.0,24.465396115040484,-0.358701,2.6812,2026-06-04 01:00:00+00:00,0.09027,0.08608038
DOGE/USDT,SELL,trend,43.55704315512077,5,moderate,False,0.0,False,,False,False,atr,TP,4.8859,4.6859,True,2.0,-1.0,30.121457299427593,-0.243501,2.0444,2026-06-05 05:00:00+00:00,0.08632,0.08210248
DOGE/USDT,SELL,range,52.200510825877195,5,moderate,False,0.0,False,,False,False,atr,TP,5.7507,5.5507,True,2.0,-1.0,28.478266206156405,-0.182753,2.0601,2026-06-05 13:00:00+00:00,0.08411,0.07927312
DOGE/USDT,SELL,expansion,39.757735817574826,5,moderate,False,0.0,False,,False,False,atr,SL,-1.5261,-1.7261,False,1.0,-1.0,19.36389585433174,-0.271871,3.8683,2026-06-18 15:00:00+00:00,0.08356,0.08483523
AVAX/USDT,SELL,expansion,30.88506779827018,5,moderate,False,0.0,False,,False,False,structural,SL,-1.0,-1.2,False,1.0,-0.5542397085454098,35.20344943149767,-0.068844,1.7436,2026-01-21 16:00:00+00:00,12.317,12.44017
AVAX/USDT,SELL,range,21.015232959465425,4,moderate,True,1.0,True,bullish,False,False,atr,SL,-1.6617,-1.8617,False,1.0,-0.6802073563176044,32.3327015132868,-0.192038,1.4322,2026-01-22 18:00:00+00:00,12.147,12.34884181
AVAX/USDT,SELL,expansion,36.78553854555585,5,moderate,False,0.0,False,,False,False,atr,TP,2.4072,2.2072,True,2.0,-0.6634270272091017,22.10979925458292,-0.199202,2.7511,2026-01-25 16:00:00+00:00,11.671,11.39005488
AVAX/USDT,SELL,expansion,43.43619618314666,5,moderate,False,0.0,False,,False,False,atr,SL,-1.534,-1.734,False,1.0,-1.0,11.747538020326575,-0.502143,2.0692,2026-01-25 19:00:00+00:00,11.497,11.67336178
AVAX/USDT,SELL,range,24.788643654352306,5,moderate,False,0.0,False,,False,False,atr,TP,2.6465,2.4465,True,2.0,-0.9128651685970589,22.98058617534738,-0.101465,1.521,2026-01-29 11:00:00+00:00,11.685,11.37575248
AVAX/USDT,SELL,expansion,30.766855377880454,5,moderate,False,0.0,False,,False,False,atr,TP,3.2947,3.0947,True,2.0,-1.0,12.2989283768419,-0.42667,3.1817,2026-01-29 14:00:00+00:00,11.574,11.19267391
AVAX/USDT,SELL,expansion,40.02990436935378,5,moderate,False,0.0,False,,True,True,atr,TP,3.9954,3.7954,True,2.0,-1.0,9.004443527508137,-0.573918,1.5684,2026-01-29 18:00:00+00:00,11.004,10.56434721
AVAX/USDT,SELL,expansion,25.49130717227287,4,moderate,True,1.0,False,,False,False,atr,SL,-2.1701,-2.3701,False,1.0,-0.5862058756705665,33.72467574158702,-0.353758,1.4382,2026-02-03 17:00:00+00:00,9.846,10.05966512
AVAX/USDT,SELL,expansion,37.58942565268262,5,moderate,False,0.0,False,,False,False,atr,TP,6.6564,6.4564,True,2.0,-1.0,11.769764147748107,-0.502554,3.7073,2026-02-05 15:00:00+00:00,8.895,8.30291552
AVAX/USDT,SELL,expansion,45.103778339261005,5,moderate,False,0.0,False,,False,False,structural,TP,8.0448,7.8448,True,2.63,-1.0,15.748954670151415,-0.691557,2.039,2026-02-05 20:00:00+00:00,8.653,7.95688072
AVAX/USDT,SELL,expansion,40.03245249933144,5,moderate,False,0.0,False,,False,False,atr,SL,-1.5568,-1.7568,False,1.0,-1.0,12.842156485891302,-0.405355,2.9477,2026-02-23 01:00:00+00:00,8.511,8.64349779
AVAX/USDT,SELL,trend,30.51807760004951,4,moderate,False,0.0,True,bearish,False,False,atr,SL,-1.8953,-2.0953,False,1.0,-0.9148442339586563,32.86087418143005,-0.202637,0.8659,2026-02-23 18:00:00+00:00,8.438,8.59792766
AVAX/USDT,SELL,expansion,37.752286724232,5,moderate,False,0.0,False,,False,False,structural,TP,3.3636,3.1636,True,2.27,-1.0,14.917719880357412,-0.263813,2.3954,2026-02-28 06:00:00+00:00,8.837,8.53975494
AVAX/USDT,SELL,range,33.19110781186591,3,weak,False,0.0,True,bearish,False,False,atr,TP,2.7847,2.5847,True,2.0,-1.0,34.96696993025479,0.076263,0.9469,2026-03-19 10:00:00+00:00,9.591,9.32392358
